"borough" "neighborhood" "building.class.category" "tax.class.at.present" "block" "lot" "ease.ment" "building.class.at.present" "address" "apartment.number" "zip.code" "residential.units" "commercial.units" "total.units" "land.square.feet" "gross.square.feet" "year.built" "tax.class.at.time.of.sale" "building.class.at.time.of.sale" "sale.price" "sale.date" "sale.price.n" "gross.sqft" "land.sqft" "outliers"
"10998" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7136 68 NA "A2" "69-41 183RD   STREET                     " "            " 11365 1 0 1 " 4,000 " " 1,664 " 1945 1 "A2" " 925,000 " "12/21/2015" 925000 1664 4000 0
"10999" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7137 15 NA "A2" "69-22 185TH STREET                       " "            " 11365 1 0 1 " 4,000 " " 1,843 " 1945 1 "A2" " 860,000 " "12/16/2015" 860000 1843 4000 0
"11000" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7137 21 NA "A2" "69-34 185TH STREET                       " "            " 11365 1 0 1 " 4,000 " " 1,155 " 1945 1 "A2" " 838,000 " "8/30/2016" 838000 1155 4000 0
"11002" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7137 57 NA "A2" "69-57 184TH   STREET                     " "            " 11365 1 0 1 " 4,000 " " 1,193 " 1945 1 "A2" " 777,000 " "12/28/2015" 777000 1193 4000 0
"11004" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7150 6 NA "A5" "69-06 198TH STREET                       " "            " 11365 1 0 1 " 1,682 " " 1,828 " 1945 1 "A5" " 715,000 " "5/4/2016" 715000 1828 1682 0
"11005" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7150 45 NA "A5" "69-45 197TH   STREET                     " "            " 11365 1 0 1 " 1,685 " " 1,925 " 1945 1 "A5" " 708,000 " "2/16/2016" 708000 1925 1685 0
"11006" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7150 59 NA "A5" "69-17 197TH STREET                       " "            " 11365 1 0 1 " 1,700 " " 1,925 " 1945 1 "A5" " 665,000 " "9/18/2015" 665000 1925 1700 0
"11007" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7151 2 NA "A5" "69-02 199TH STREET                       " "            " 11365 1 0 1 " 2,333 " " 1,072 " 1950 1 "A5" " 560,000 " "11/9/2015" 560000 1072 2333 0
"11008" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7151 20 NA "A5" "69-36 199TH   STREET                     " "            " 11365 1 0 1 " 2,251 " " 1,168 " 1960 1 "A5" " 645,000 " "10/5/2015" 645000 1168 2251 0
"11009" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7151 25 NA "A5" "69-46 199TH STREET                       " "            " 11365 1 0 1 " 2,270 " " 1,120 " 1965 1 "A5" " 676,700 " "12/15/2015" 676700 1120 2270 0
"11010" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7151 53 NA "A5" "69-25 198 STREET                         " "            " 11365 1 0 1 " 1,700 " " 1,828 " 1940 1 "A5" " 650,000 " "1/22/2016" 650000 1828 1700 0
"11011" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7164 10 NA "A5" "73-41 UTOPIA PARKWAY                     " "            " 11366 1 0 1 " 1,440 " " 1,960 " 1940 1 "A5" " 695,000 " "7/21/2016" 695000 1960 1440 0
"11012" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7165 29 NA "A1" "73-06 178TH STREET                       " "            " 11366 1 0 1 " 4,000 " " 1,196 " 1935 1 "A1" " 790,000 " "6/17/2016" 790000 1196 4000 0
"11013" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7166 5 NA "A1" "73-43 178TH   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,600 " 1945 1 "A1" " 868,000 " "12/9/2015" 868000 1600 4000 0
"11014" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7167 39 NA "A1" "73-26 180TH   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,196 " 1935 1 "A1" " 632,300 " "6/24/2016" 632300 1196 4000 0
"11016" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7168 37 NA "A2" "73-26 181 STREET                         " "            " 11366 1 0 1 " 4,000 " " 1,680 " 1950 1 "A2" " 779,000 " "10/21/2015" 779000 1680 4000 0
"11018" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7169 25 NA "A2" "73-04 182ND   STREET                     " "            " 11366 1 0 1 " 4,335 " " 1,643 " 1950 1 "A2" " 880,000 " "4/21/2016" 880000 1643 4335 0
"11019" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7170 1 NA "A1" "73-47 182ND   STREET                     " "            " 11366 1 0 1 " 4,000 " " 2,000 " 1940 1 "A1" " 975,000 " "12/7/2015" 975000 2000 4000 0
"11020" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7171 43 NA "A2" "73-36 184TH   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,418 " 1955 1 "A2" " 845,000 " "7/8/2016" 845000 1418 4000 0
"11021" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7171 43 NA "A2" "73-36 184TH   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,418 " 1955 1 "A2" " 420,000 " "12/16/2015" 420000 1418 4000 0
"11022" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7172 35 NA "A2" "73-47 184TH STREET                       " "            " 11366 1 0 1 " 4,008 " " 1,418 " 1945 1 "A2" " 750,000 " "6/8/2016" 750000 1418 4008 0
"11023" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7172 37 NA "A2" "73-43 184TH STREET                       " "            " 11366 1 0 1 " 4,008 " " 1,418 " 1945 1 "A2" " 825,000 " "10/15/2015" 825000 1418 4008 0
"11024" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7174 7 NA "A1" "73-08 187TH   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,228 " 1940 1 "A1" " 788,000 " "2/24/2016" 788000 1228 4000 0
"11026" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7175 44 NA "A2" "73-47 187 STREET                         " "            " 11366 1 0 1 " 4,000 " " 1,843 " 1945 1 "A2" " 785,000 " "11/10/2015" 785000 1843 4000 0
"11027" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7176 57 NA "A1" "73-23 188TH   STREET                     " "            " 11366 1 0 1 " 4,200 " " 1,458 " 1940 1 "A1" " 780,000 " "12/23/2015" 780000 1458 4200 0
"11028" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7177 12 NA "A1" "73-14 190TH   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,352 " 1955 1 "A1" " 750,000 " "12/17/2015" 750000 1352 4000 0
"11029" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7177 54 NA "A1" "73-35 189TH STREET                       " "            " 11366 1 0 1 " 4,000 " " 1,458 " 1955 1 "A1" " 850,000 " "5/9/2016" 850000 1458 4000 0
"11030" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7177 54 NA "A1" "73-35 189TH STREET                       " "            " 11366 1 0 1 " 4,000 " " 1,458 " 1955 1 "A1" " 530,000 " "10/27/2015" 530000 1458 4000 0
"11031" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7177 54 NA "A1" "73-35 189TH   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,458 " 1955 1 "A1" " 497,100 " "9/24/2015" 497100 1458 4000 0
"11033" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7179 6 NA "A1" "73-04 193 STREET                         " "            " 11366 1 0 1 " 3,700 " " 1,560 " 1940 1 "A1" " 749,000 " "7/28/2016" 749000 1560 3700 0
"11034" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7179 6 NA "A1" "73-04 193RD   STREET                     " "            " 11366 1 0 1 " 3,700 " " 1,560 " 1940 1 "A1" " 620,300 " "3/18/2016" 620300 1560 3700 0
"11036" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7180 16 NA "A1" "73-24 194 STREET                         " "            " 11366 1 0 1 " 4,000 " " 1,670 " 1935 1 "A1" " 850,000 " "6/15/2016" 850000 1670 4000 0
"11037" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7180 64 NA "A2" "73-27 193RD STREET                       " "            " 11366 1 0 1 " 4,000 " " 1,418 " 1945 1 "A2" " 838,000 " "1/15/2016" 838000 1418 4000 0
"11038" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7181 12 NA "A1" "73-16 195 STREET                         " "            " 11366 1 0 1 " 4,000 " " 1,352 " 1935 1 "A1" " 800,000 " "7/15/2016" 8e+05 1352 4000 0
"11039" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7181 36 NA "A1" "73-64 195TH STREET                       " "            " 11366 1 0 1 " 4,000 " " 1,352 " 1935 1 "A1" " 810,000 " "3/17/2016" 810000 1352 4000 0
"11043" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7187 90 NA "A5" "7529 UTOPIA PKWY                         " "            " 11366 1 0 1 " 1,280 " " 1,024 " 1950 1 "A5" " 635,000 " "6/27/2016" 635000 1024 1280 0
"11045" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7188 69 NA "A2" "75-53 177 STREET                         " "            " 11366 1 0 1 " 4,000 " " 1,418 " 1938 1 "A2" " 840,000 " "6/2/2016" 840000 1418 4000 0
"11047" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7188 77 NA "A2" "75-37 177TH STREET                       " "            " 11366 1 0 1 " 4,000 " " 1,236 " 1937 1 "A2" " 820,000 " "5/31/2016" 820000 1236 4000 0
"11048" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7188 87 NA "A2" "75-17 177TH   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,418 " 1950 1 "A2" " 780,000 " "9/21/2015" 780000 1418 4000 0
"11050" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7192 66 NA "A2" "75-43 179TH STREET                       " "            " 11366 1 0 1 " 4,000 " " 2,227 " 1950 1 "A2" " 818,000 " "11/25/2015" 818000 2227 4000 0
"11053" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7195 72 NA "A1" "75-35 180 STREET                         " "            " 11366 1 0 1 " 4,000 " " 1,440 " 1950 1 "A1" " 855,000 " "6/1/2016" 855000 1440 4000 0
"11054" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7196 6 NA "A2" "75-04 182 STREET                         " "            " 11366 1 0 1 " 3,876 " " 1,283 " 1950 1 "A2" " 812,000 " "12/28/2015" 812000 1283 3876 0
"11055" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7196 32 NA "A1" "75-54 182ND   STREET                     " "            " 11366 1 0 1 " 4,016 " " 1,196 " 1950 1 "A1" " 805,000 " "6/14/2016" 805000 1196 4016 0
"11056" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7196 58 NA "A2" "75-67 181 STREET                         " "            " 11366 1 0 1 " 4,000 " " 1,155 " 1950 1 "A2" " 785,000 " "10/9/2015" 785000 1155 4000 0
"11058" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7199 16 NA "A1" "75-24 183RD   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,564 " 1940 1 "A1" " 850,000 " "6/3/2016" 850000 1564 4000 0
"11059" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7199 82 NA "A2" "75-15 182ND   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,283 " 1950 1 "A2" " 840,000 " "6/24/2016" 840000 1283 4000 0
"11062" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7201 79 NA "A1" "75-11 184TH   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,196 " 1940 1 "A1" " 750,000 " "9/21/2015" 750000 1196 4000 0
"11063" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7202 53 NA "A2" "75-59 185TH STREET                       " "            " 11366 1 0 1 " 4,973 " " 1,384 " 1945 1 "A2" " 970,000 " "6/9/2016" 970000 1384 4973 0
"11064" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7203 50 NA "A1" "75-61 186TH   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,630 " 1950 1 "A1" " 995,000 " "5/25/2016" 995000 1630 4000 0
"11065" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7204 60 NA "A1" "75-29 187TH STREET                       " "            " 11366 1 0 1 " 4,100 " " 1,985 " 1940 1 "A1" " 990,000 " "1/26/2016" 990000 1985 4100 0
"11068" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7205 68 NA "A2" "75-11 188TH STREET                       " "            " 11366 1 0 1 " 4,000 " " 1,643 " 1950 1 "A2" " 700,000 " "6/3/2016" 7e+05 1643 4000 0
"11069" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7206 3 NA "A1" "75-02 190TH   STREET                     " "            " 11366 1 0 1 " 4,500 " " 1,600 " 1940 1 "A1" " 945,000 " "1/29/2016" 945000 1600 4500 0
"11070" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7208 26 NA "A1" "75-42 193RD   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,296 " 1940 1 "A1" " 675,000 " "11/11/2015" 675000 1296 4000 0
"11071" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7209 6 NA "A1" "75-02 194TH   STREET                     " "            " 11366 1 0 1 " 4,000 " " 2,184 " 1940 1 "A1" " 800,000 " "7/28/2016" 8e+05 2184 4000 0
"11072" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7209 20 NA "A1" "75-30 194TH   STREET                     " "            " 11366 1 0 1 " 4,000 " " 1,000 " 1940 1 "A1" " 696,000 " "4/20/2016" 696000 1000 4000 0
"11074" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7210 36 NA "A1" "75-64 195TH STREET                       " "            " 11366 1 0 1 " 4,000 " " 1,680 " 1955 1 "A1" " 935,000 " "12/22/2015" 935000 1680 4000 0
"11075" 4 "FRESH MEADOWS            " "01  ONE FAMILY DWELLINGS                    " "1" 7213 34 NA "A2" "75-61 196TH   PLACE                      " "            " 11366 1 0 1 " 5,500 " " 1,450 " 1950 1 "A2" " 960,000 " "1/5/2016" 960000 1450 5500 0
"11076" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7073 43 NA "B2" "61-27 184TH   STREET                     " "            " 11365 2 0 2 " 3,000 " " 2,072 " 2014 1 "B2" " 916,425 " "1/15/2016" 916425 2072 3000 0
"11077" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7073 44 NA "B2" "61-25 184TH   STREET                     " "            " 11365 2 0 2 " 3,000 " " 2,072 " 2014 1 "B2" " 987,702 " "10/1/2015" 987702 2072 3000 0
"11079" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7110 41 NA "B3" "181-03 69 AVENUE                         " "            " 11365 2 0 2 " 5,000 " " 1,970 " 1940 1 "B3" " 950,000 " "3/16/2016" 950000 1970 5000 0
"11080" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7164 8 NA "B1" "73-45 UTOPIA PARKWAY                     " "            " 11366 2 0 2 " 1,440 " " 1,960 " 1940 1 "B1" " 675,000 " "3/3/2016" 675000 1960 1440 0
"11081" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7164 16 NA "B1" "73-29 UTOPIA PARKWAY                     " "            " 11366 2 0 2 " 1,440 " " 1,960 " 1940 1 "B1" " 286,000 " "7/15/2016" 286000 1960 1440 0
"11082" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7165 25 NA "B3" "73-03 177TH STREET                       " "            " 11366 2 0 2 " 4,500 " " 1,600 " 1935 1 "B3" " 900,000 " "8/29/2016" 9e+05 1600 4500 0
"11083" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7165 25 NA "B3" "73-03 177TH   STREET                     " "            " 11366 2 0 2 " 4,500 " " 1,600 " 1935 1 "B3" " 890,000 " "2/10/2016" 890000 1600 4500 0
"11085" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7184 20 NA "B1" "73-30 197TH   STREET                     " "            " 11366 2 0 2 " 3,000 " " 1,872 " 1955 1 "B1" " 849,000 " "12/24/2015" 849000 1872 3000 0
"11088" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7185 35 NA "B1" "73-58 198TH   STREET                     " "            " 11366 2 0 2 " 2,857 " " 1,848 " 1955 1 "B1" " 890,000 " "5/10/2016" 890000 1848 2857 0
"11089" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7185 37 NA "B1" "73-60 198TH STREET                       " "            " 11366 2 0 2 " 2,857 " " 1,848 " 1955 1 "B1" " 949,000 " "3/31/2016" 949000 1848 2857 0
"11090" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7186 6 NA "B1" "73-08 199TH STREET                       " "            " 11366 2 0 2 " 2,924 " " 1,848 " 1955 1 "B1" " 650,000 " "4/14/2016" 650000 1848 2924 0
"11091" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7186 84 NA "B1" "73-09 198TH   STREET                     " "            " 11366 2 0 2 " 2,881 " " 1,848 " 1955 1 "B1" " 925,000 " "4/22/2016" 925000 1848 2881 0
"11093" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7213 26 NA "B1" "75-64 197TH STREET                       " "            " 11366 2 0 2 " 3,000 " " 1,848 " 1950 1 "B1" " 285,000 " "12/10/2015" 285000 1848 3000 0
"11095" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7214 26 NA "B1" "75-42 198TH STREET                       " "            " 11366 2 0 2 " 3,034 " " 1,848 " 1950 1 "B1" " 950,000 " "5/23/2016" 950000 1848 3034 0
"11096" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7215 8 NA "B1" "75-08 199TH   STREET                     " "            " 11366 2 0 2 " 2,880 " " 1,872 " 1950 1 "B1" " 875,000 " "5/5/2016" 875000 1872 2880 0
"11098" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7215 60 NA "B1" "75-51 198TH STREET                       " "            " 11366 2 0 2 " 2,881 " " 1,848 " 1950 1 "B1" " 888,000 " "12/22/2015" 888000 1848 2881 0
"11099" 4 "FRESH MEADOWS            " "02  TWO FAMILY DWELLINGS                    " "1" 7215 76 NA "B1" "75-21 198TH   STREET                     " "            " 11366 2 0 2 " 2,808 " " 1,848 " 1950 1 "B1" " 955,000 " "1/7/2016" 955000 1848 2808 0
"11101" 4 "FRESH MEADOWS            " "03  THREE FAMILY DWELLINGS                  " "1" 7074 31 NA "C0" "185-15 64TH AVENUE                       " "            " 11365 3 0 3 " 5,000 " " 2,992 " 1960 1 "C0" " 1,390,000 " "7/27/2016" 1390000 2992 5000 0
"11102" 4 "FRESH MEADOWS            " "03  THREE FAMILY DWELLINGS                  " "1" 7074 37 NA "C0" "61-39 185TH   STREET                     " "            " 11365 3 0 3 " 3,125 " " 3,168 " 1950 1 "C0" " 970,000 " "7/29/2016" 970000 3168 3125 0
"11132" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8401 244 NA "A2" "252-07 ELKMONT AVENUE                    " "            " 11426 1 0 1 " 5,016 " " 1,140 " 1945 1 "A2" " 630,000 " "4/6/2016" 630000 1140 5016 0
"11135" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8443 132 NA "A3" "68-03 LITTLE NECK PARKWAY                " "            " 11004 1 0 1 " 4,773 " " 2,121 " 1975 1 "A3" " 688,500 " "5/27/2016" 688500 2121 4773 0
"11137" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8443 343 NA "A2" "69-49 260TH   PLACE                      " "            " 11004 1 0 1 " 5,655 " " 1,208 " 1975 1 "A2" " 690,000 " "7/1/2016" 690000 1208 5655 0
"11140" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8448 91 NA "A2" "70-14 267TH   STREET                     " "            " 11004 1 0 1 " 6,420 " " 1,144 " 1955 1 "A2" " 760,000 " "6/7/2016" 760000 1144 6420 0
"11141" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8449 25 NA "A2" "264-52 73RD AVENUE                       " "            " 11004 1 0 1 " 6,868 " " 1,366 " 1955 1 "A2" " 820,000 " "3/22/2016" 820000 1366 6868 0
"11142" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8500 28 NA "A1" "249-03 SHILOH AVENUE                     " "            " 11426 1 0 1 " 4,400 " " 1,320 " 1950 1 "A1" " 630,000 " "4/6/2016" 630000 1320 4400 0
"11143" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8501 9 NA "A5" "250-20 ELKMONT AVE                       " "            " 11426 1 0 1 " 2,678 " " 1,056 " 1950 1 "A5" " 440,000 " "11/12/2015" 440000 1056 2678 0
"11144" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8502 20 NA "A5" "77-30 250TH   STREET                     " "            " 11426 1 0 1 " 2,500 " " 896 " 1950 1 "A5" " 459,000 " "3/7/2016" 459000 896 2500 0
"11145" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8503 9 NA "A5" "250-20 SHILOH AVENUE                     " "            " 11426 1 0 1 " 3,312 " " 896 " 1950 1 "A5" " 400,000 " "1/21/2016" 4e+05 896 3312 0
"11146" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8503 21 NA "A5" "77-38 251ST   STREET                     " "            " 11426 1 0 1 " 2,500 " " 896 " 1950 1 "A5" " 470,000 " "8/29/2016" 470000 896 2500 0
"11147" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8503 24 NA "A5" "77-40 251ST   STREET                     " "            " 11426 1 0 1 " 2,500 " " 896 " 1950 1 "A5" " 430,000 " "5/24/2016" 430000 896 2500 0
"11148" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8503 33 NA "A5" "77-58 251ST   STREET                     " "            " 11426 1 0 1 " 2,800 " " 1,216 " 1950 1 "A5" " 432,000 " "8/10/2016" 432000 1216 2800 0
"11149" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8503 53 NA "A5" "77-15 250TH   STREET                     " "            " 11426 1 0 1 " 2,500 " " 896 " 1950 1 "A5" " 470,000 " "7/29/2016" 470000 896 2500 0
"11152" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8506 42 NA "A5" "77-51 251 STREET                         " "            " 11426 1 0 1 " 3,500 " " 896 " 1950 1 "A5" " 349,000 " "10/23/2015" 349000 896 3500 0
"11153" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8506 59 NA "A5" "77-17 251ST STREET                       " "            " 11426 1 0 1 " 2,500 " " 896 " 1940 1 "A5" " 457,500 " "2/9/2016" 457500 896 2500 0
"11154" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8507 66 NA "A1" "77-11 252ND STREET                       " "            " 11426 1 0 1 " 3,800 " " 2,450 " 1950 1 "A1" " 800,000 " "8/18/2016" 8e+05 2450 3800 0
"11156" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8535 61 NA "B3" "76-28 263RD STREET                       " "            " 11004 2 0 2 " 4,000 " " 2,398 " 1950 1 "A1" " 997,885 " "9/2/2015" 997885 2398 4000 0
"11157" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8537 1 NA "A1" "76-03 263RD   STREET                     " "            " 11004 1 0 1 " 4,500 " " 1,584 " 1950 1 "A1" " 665,000 " "9/11/2015" 665000 1584 4500 0
"11160" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8538 9 NA "A2" "76-12 265 STREET                         " "            " 11040 1 0 1 " 4,200 " " 1,236 " 1950 1 "A2" " 580,000 " "7/15/2016" 580000 1236 4200 0
"11164" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8539 29 NA "A2" "76-50 266TH   STREET                     " "            " 11040 1 0 1 " 4,000 " " 1,506 " 1950 1 "A2" " 504,000 " "3/10/2016" 504000 1506 4000 0
"11165" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8539 57 NA "A2" "76-19 265 STREET                         " "            " 11040 1 0 1 " 4,000 " " 1,564 " 1950 1 "A2" " 505,000 " "6/14/2016" 505000 1564 4000 0
"11168" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8546 11 NA "A2" "76-04 269TH STREET                       " "            " 11040 1 0 1 " 5,150 " " 1,031 " 1950 1 "A2" " 560,000 " "12/9/2015" 560000 1031 5150 0
"11169" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8547 18 NA "A2" "76-16 270TH   STREET                     " "            " 11040 1 0 1 " 4,500 " " 1,031 " 1950 1 "A2" " 470,000 " "9/16/2015" 470000 1031 4500 0
"11171" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8547 44 NA "A2" "76-37 269TH   STREET                     " "            " 11040 1 0 1 " 4,500 " " 3,300 " 1950 1 "A2" " 415,000 " "2/24/2016" 415000 3300 4500 0
"11172" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8548 36 NA "A0" "76-54 271 STREET                         " "            " 11040 1 0 1 " 5,100 " " 1,375 " 1950 1 "A0" " 640,000 " "3/25/2016" 640000 1375 5100 0
"11173" 4 "GLEN OAKS                " "01  ONE FAMILY DWELLINGS                    " "1" 8549 56 NA "A2" "76-19 271ST   STREET                     " "            " 11040 1 0 1 " 4,542 " " 1,031 " 1950 1 "A2" " 643,000 " "10/2/2015" 643000 1031 4542 0
